Gene	log10_ci_low	log10_ci_high	log10_map	group	group2	Ensembl_transcript_id
CRYZ	-6.10522677	-2.15789752	-3.23766023	Autosome	Autosome	ENST00000417775
CRYZL1	-6.15511688	-2.1153185	-3.08282409	Autosome	Autosome	ENST00000381554
CS	-1.00979669	-0.06629463	-0.45664797	Autosome	Autosome	ENST00000351328
CSAD	-6.03801878	-2.04665287	-3.25094431	Autosome	Autosome	ENST00000267085
CSDC2	-6.0880853	-0.63124901	-1.55397497	Autosome	Autosome	ENST00000306149
CSDE1	-0.94671336	-0.05676687	-0.41398562	Autosome	Autosome	ENST00000438362
CSE1L	-0.91484169	-0.05213681	-0.44530059	Autosome	Autosome	ENST00000262982
CSF1	-1.61478874	-0.33609428	-1.04858953	Autosome	Autosome	ENST00000329608
CSF1R	-1.95316594	-1.16493157	-1.53882911	Autosome	Autosome	ENST00000286301
CSF2	-5.18310271	-0.00188605	-0.90635277	Autosome	Autosome	ENST00000296871
CSF2RA	-5.77135235	-1.56216147	-2.14395323	X (PAR)	X (PAR)	ENST00000417535
CSF2RB	-1.35701646	-0.28089839	-0.83484947	Autosome	Autosome	ENST00000403662
CSF3	-5.66900277	-0.39474599	-1.37459974	Autosome	Autosome	ENST00000225474
CSF3R	-5.99699243	-2.0290601	-3.23173203	Autosome	Autosome	ENST00000373103
CSGALNACT1	-5.43476494	-1.27395618	-1.85412683	Autosome	Autosome	ENST00000454498
CSGALNACT2	-1.78496318	-0.75441572	-1.27179691	Autosome	Autosome	ENST00000374466
CSH1	-3.92026702	-0.01017606	-0.86067607	Autosome	Autosome	ENST00000316193
CSH2	-2.50477745	-0.00435952	-0.81689293	Autosome	Autosome	ENST00000392886
CSHL1	-6.09290385	-2.05713601	-3.52397294	Autosome	Autosome	ENST00000309894
CSK	-1.10701729	-0.07365833	-0.51294048	Autosome	Autosome	ENST00000220003
CSMD1	-1.25422538	-0.74725807	-1.02481249	Autosome	Autosome	ENST00000537824
CSMD3	-1.48081375	-1.12042711	-1.3061726	Autosome	Autosome	ENST00000297405
CSN1S1	-6.1011115	-2.0601356	-3.40843883	Autosome	Autosome	ENST00000246891
CSN2	-6.1804343	-2.20790704	-3.69196779	Autosome	Autosome	ENST00000353151
CSN3	-6.1350032	-0.86693805	-1.77229679	Autosome	Autosome	ENST00000304954
CSNK1A1	-1.25085617	-0.09025131	-0.6210789	Autosome	Autosome	ENST00000515768
CSNK1A1L	-5.8800345	-1.22215527	-1.82384433	Autosome	Autosome	ENST00000379800
CSNK1D	-1.23597017	-0.09017954	-0.55645081	Autosome	Autosome	ENST00000314028
CSNK1E	-1.23858938	-0.08537974	-0.59529934	Autosome	Autosome	ENST00000396832
CSNK1G1	-1.27487556	-0.25448184	-0.76363413	Autosome	Autosome	ENST00000303052
CSNK1G2	-1.85609966	-0.32653339	-1.13088446	Autosome	Autosome	ENST00000255641
CSNK1G3	-1.6548892	-0.70367137	-1.2124507	Autosome	Autosome	ENST00000395412
CSNK2A1	-1.00787025	-0.06669968	-0.43777051	Autosome	Autosome	ENST00000217244
CSNK2A2	-1.09949648	-0.075141	-0.52160929	Autosome	Autosome	ENST00000262506
CSNK2A3	-6.22486695	-2.39042385	-3.87204978	Autosome	Autosome	ENST00000528848
CSNK2B	-1.56639791	-0.08583537	-0.70374609	Autosome	Autosome	ENST00000375882
CSNK2B-LY6G5B-1181	-5.69495671	-1.10820777	-1.74708097	Autosome	Autosome	ENST00000375880
CSPG4	-1.7638543	-1.17669179	-1.45030656	Autosome	Autosome	ENST00000308508
CSPG5	-1.97886986	-0.30219424	-1.13251263	Autosome	Autosome	ENST00000383738
CSPP1	-5.80705315	-1.90413555	-3.20207046	Autosome	Autosome	ENST00000262210
CSRNP1	-1.55134305	-0.32583151	-0.96479065	Autosome	Autosome	ENST00000273153
CSRNP2	-1.44595235	-0.33609887	-0.91741554	Autosome	Autosome	ENST00000228515
CSRNP3	-1.74092049	-0.85182764	-1.29244003	Autosome	Autosome	ENST00000314499
CSRP1	-5.86606977	-1.21233549	-1.83547381	Autosome	Autosome	ENST00000367306
CSRP2	-6.13063203	-1.88761903	-3.04223801	Autosome	Autosome	ENST00000311083
CSRP2BP	-6.24762784	-3.43596225	-5.20321061	Autosome	Autosome	ENST00000435364
CSRP3	-6.19363659	-2.09895147	-3.47759366	Autosome	Autosome	ENST00000533783
CST1	-6.20576659	-1.93993933	-3.79389047	Autosome	Autosome	ENST00000304749
CST11	-6.22763521	-2.33380843	-4.33465776	Autosome	Autosome	ENST00000377009
CST2	-6.23333405	-2.48747363	-4.00595683	Autosome	Autosome	ENST00000304725
CST3	-5.87379757	-0.48079462	-1.42539088	Autosome	Autosome	ENST00000398411
CST4	-6.23680102	-2.12806434	-3.39084121	Autosome	Autosome	ENST00000217423
CST5	-6.22026814	-2.43305753	-4.0968989	Autosome	Autosome	ENST00000304710
CST6	-5.38339763	-0.01271308	-0.94851418	Autosome	Autosome	ENST00000312134
CST7	-6.09939092	-0.92384473	-1.72210957	Autosome	Autosome	ENST00000480798
CST8	-6.24700964	-2.36533106	-3.79790636	Autosome	Autosome	ENST00000246012
CST9	-6.1854885	-1.41658974	-2.30343262	Autosome	Autosome	ENST00000376971
CST9L	-6.22147094	-2.26651631	-4.43464839	Autosome	Autosome	ENST00000376979
CSTA	-6.15237097	-1.71864684	-3.0381055	Autosome	Autosome	ENST00000264474
CSTF1	-1.2629838	-0.09038372	-0.58906461	Autosome	Autosome	ENST00000217109
CSTF2	-1.07758219	-0.0530193	-0.40318997	non-par X	X (Other non-PAR)	ENST00000372972
CSTF2T	-1.90960422	-0.5654342	-1.25350601	Autosome	Autosome	ENST00000331173
CSTF3	-1.65055631	-0.94176959	-1.30457228	Autosome	Autosome	ENST00000323959
CSTL1	-6.13345551	-2.11052957	-2.9589619	Autosome	Autosome	ENST00000347397
CT45A1	-5.87860759	-0.33047553	-1.30931186	non-par X	X (Other non-PAR)	ENST00000497301
CT45A5	-6.05091392	-2.22040166	-4.86476391	non-par X	X (Other non-PAR)	ENST00000463085
CT47B1	-6.0337901	-2.33003835	-3.97148297	non-par X	X (Other non-PAR)	ENST00000371311
CT55	-3.51666595	-0.00450629	-0.73105249	non-par X	X (Other non-PAR)	ENST00000276241
CT83	-5.82432235	-0.2476066	-1.06442467	non-par X	X (Other non-PAR)	ENST00000371894
CTAG2	-5.75409705	-0.18893525	-0.99501073	non-par X	X (Other non-PAR)	ENST00000247306
CTAGE5	-1.91641156	-1.14550093	-1.49655101	Autosome	Autosome	ENST00000396158
CTB-102L5.4	-5.71971569	-0.70507517	-1.54689615	Autosome	Autosome	ENST00000587519
CTB-186H2.3	-6.19214085	-0.34669892	-1.36228411	Autosome	Autosome	ENST00000591669
CTB-54O9.9	-6.12862337	-0.94634235	-2.10873555	Autosome	Autosome	ENST00000586012
CTB-96E2.2	-6.14928597	-2.15663081	-3.71397279	Autosome	Autosome	ENST00000555059
CTBP1	-1.33133889	-0.09309858	-0.67957713	Autosome	Autosome	ENST00000290921
CTBP2	-2.56512272	-1.31783044	-1.725226	Autosome	Autosome	ENST00000309035
CTBS	-6.11039327	-2.0054499	-3.31930408	Autosome	Autosome	ENST00000370630
CTC-260F20.3	-6.19829946	-2.32359879	-4.40657299	Autosome	Autosome	ENST00000555938
CTC-273B12.7	-5.72829493	-0.0717737	-1.03267598	Autosome	Autosome	ENST00000595676
CTC-360G5.8	-6.04629376	-2.00969122	-3.54512343	Autosome	Autosome	ENST00000599996
CTC-429P9.4	-5.71347653	-0.07076782	-1.01251431	Autosome	Autosome	ENST00000593459
CTC-432M15.3	-1.82433286	-1.2983139	-1.5312765	Autosome	Autosome	ENST00000514667
CTC-435M10.3	-5.86853538	-1.59812933	-2.18030792	Autosome	Autosome	ENST00000540732
CTC-454I21.3	-5.46682812	-0.01431935	-0.93576287	Autosome	Autosome	ENST00000588873
CTC-512J12.6	-6.0392165	-1.0188309	-1.76052408	Autosome	Autosome	ENST00000588212
CTC1	-5.70771161	-1.6709461	-2.37019599	Autosome	Autosome	ENST00000315684
CTCF	-1.08388946	-0.07447721	-0.46379849	Autosome	Autosome	ENST00000264010
CTCFL	-1.87903614	-0.98277853	-1.40626199	Autosome	Autosome	ENST00000423479
CTD-2132N18.3	-1.38081986	-0.09447007	-0.67773414	Autosome	Autosome	ENST00000592574
CTD-2140B24.4	-5.93375535	-1.54997212	-2.16675865	Autosome	Autosome	ENST00000540096
CTD-2192J16.24	-5.60938823	-0.64752566	-1.51665506	Autosome	Autosome	ENST00000597961
CTD-2207O23.12	-6.16366891	-0.31972462	-1.26153037	Autosome	Autosome	ENST00000599312
CTD-2207O23.3	-2.15503377	-1.28308874	-1.63135081	Autosome	Autosome	ENST00000593531
CTD-2370N5.3	-6.22526398	-2.43684948	-4.01009384	Autosome	Autosome	ENST00000578584
CTD-2410N18.5	-5.46737784	-0.01118541	-0.96860149	Autosome	Autosome	ENST00000519718
CTD-2510F5.6	-6.16672013	-0.73102623	-1.66335695	Autosome	Autosome	ENST00000577660
CTD-2545M3.6	-5.53644631	-1.15891249	-1.78693407	Autosome	Autosome	ENST00000599632
CTD-2583A14.10	-5.86871924	-0.13763622	-1.06885162	Autosome	Autosome	ENST00000598031
CTD-3074O7.11	-5.52752422	-1.51361034	-2.06572734	Autosome	Autosome	ENST00000419755
CTD-3214H19.16	-6.10551267	-1.64042158	-2.46760559	Autosome	Autosome	ENST00000597959
CTDNEP1	-1.73494714	-0.06104907	-0.78778534	Autosome	Autosome	ENST00000573600
CTDP1	-1.59616554	-0.78063172	-1.22007807	Autosome	Autosome	ENST00000299543
CTDSP1	-1.30497513	-0.09037043	-0.63671338	Autosome	Autosome	ENST00000273062
CTDSP2	-5.96983919	-1.30975201	-1.90597132	Autosome	Autosome	ENST00000398073
CTDSPL	-1.65961839	-0.07651504	-0.7646631	Autosome	Autosome	ENST00000273179
CTDSPL2	-1.12178471	-0.07855392	-0.53546664	Autosome	Autosome	ENST00000260327
CTF1	-6.20223475	-1.48434656	-2.57756647	Autosome	Autosome	ENST00000279804
CTGF	-1.86566046	-0.32245925	-1.1219043	Autosome	Autosome	ENST00000367976
CTH	-5.89447264	-1.63721702	-2.24830062	Autosome	Autosome	ENST00000370938
CTHRC1	-1.73654407	-0.05766792	-0.77056384	Autosome	Autosome	ENST00000330295
CTIF	-1.15581069	-0.07797945	-0.52397858	Autosome	Autosome	ENST00000382998
CTLA4	-1.78300587	-0.04777202	-0.77570459	Autosome	Autosome	ENST00000302823
CTNNA1	-1.68635893	-0.96163463	-1.34239	Autosome	Autosome	ENST00000302763
CTNNA2	-1.68448349	-0.96162192	-1.34726338	Autosome	Autosome	ENST00000466387
CTNNA3	-6.06842127	-2.06218407	-2.90255441	Autosome	Autosome	ENST00000433211
CTNNAL1	-5.95180979	-1.73303101	-2.54508983	Autosome	Autosome	ENST00000325551
CTNNB1	-0.97565708	-0.06050812	-0.4144885	Autosome	Autosome	ENST00000349496
CTNNBIP1	-5.97269704	-0.83378001	-1.64376693	Autosome	Autosome	ENST00000377263
CTNNBL1	-1.58298837	-0.67609738	-1.16295465	Autosome	Autosome	ENST00000361383
CTNND1	-1.51279718	-0.73151204	-1.16729613	Autosome	Autosome	ENST00000399050
CTNND2	-1.05148202	-0.18592318	-0.65557619	Autosome	Autosome	ENST00000304623
CTNS	-6.13606611	-2.10008935	-3.34546103	Autosome	Autosome	ENST00000381870
CTPS1	-5.99092386	-1.85025523	-2.76084639	Autosome	Autosome	ENST00000372621
CTPS2	-1.10829027	-0.05933611	-0.4021875	non-par X	X (Other non-PAR)	ENST00000443824
CTR9	-1.0342532	-0.18069209	-0.60708525	Autosome	Autosome	ENST00000361367
CTRB1	-5.99242746	-0.56127729	-1.49636101	Autosome	Autosome	ENST00000361017
CTRC	-5.85790034	-1.30293825	-1.88510669	Autosome	Autosome	ENST00000375949
CTRL	-6.05652292	-1.67599938	-2.32037281	Autosome	Autosome	ENST00000574481
CTSA	-5.56277914	-1.42389383	-1.99624742	Autosome	Autosome	ENST00000372484
CTSB	-6.10774897	-1.89118744	-2.75190445	Autosome	Autosome	ENST00000353047
CTSC	-6.14994488	-2.10451611	-2.96665667	Autosome	Autosome	ENST00000227266
CTSD	-3.20514428	-0.65276862	-1.4744143	Autosome	Autosome	ENST00000236671
CTSE	-6.06972892	-2.02053725	-3.31553128	Autosome	Autosome	ENST00000358184
CTSF	-5.11884523	-1.18800013	-1.79501049	Autosome	Autosome	ENST00000310325
CTSG	-5.96919559	-1.48166204	-2.04842884	Autosome	Autosome	ENST00000216336
CTSH	-5.75739851	-1.43474334	-2.00454789	Autosome	Autosome	ENST00000220166
CTSK	-6.14821268	-2.19275956	-3.25901214	Autosome	Autosome	ENST00000271651
CTSL	-2.08154367	-0.27093237	-1.14746901	Autosome	Autosome	ENST00000343150
CTSO	-6.19417113	-2.29284631	-3.67459439	Autosome	Autosome	ENST00000433477
CTSS	-5.67221952	-1.19354275	-1.79710921	Autosome	Autosome	ENST00000368985
CTSV	-6.20240314	-2.29647852	-3.75070619	Autosome	Autosome	ENST00000259470
CTSW	-5.95000735	-1.52902528	-2.10646962	Autosome	Autosome	ENST00000307886
CTSZ	-6.19477286	-2.32850423	-3.76471317	Autosome	Autosome	ENST00000217131
CTTN	-1.67701814	-0.82665579	-1.27389716	Autosome	Autosome	ENST00000376561
CTTNBP2	-1.94239359	-1.32172996	-1.59398038	Autosome	Autosome	ENST00000160373
CTTNBP2NL	-5.4961421	-1.22128252	-1.81819889	Autosome	Autosome	ENST00000271277
CTU1	-5.9060648	-0.13613353	-1.08971199	Autosome	Autosome	ENST00000421832
CTU2	-6.05289662	-2.03140812	-3.24572066	Autosome	Autosome	ENST00000453996
CTXN1	-6.15842628	-0.32310186	-1.21381011	Autosome	Autosome	ENST00000318978
CTXN3	-5.84357206	-0.11865353	-1.02746412	Autosome	Autosome	ENST00000379445
CUBN	-4.32381126	-1.63837189	-2.4413565	Autosome	Autosome	ENST00000377833
CUEDC1	-6.18703971	-2.25869866	-3.50051739	Autosome	Autosome	ENST00000577830
CUEDC2	-2.14809644	-0.52429289	-1.29615091	Autosome	Autosome	ENST00000369937
CUL1	-1.09403784	-0.19465702	-0.65143537	Autosome	Autosome	ENST00000325222
CUL2	-1.1323202	-0.20761103	-0.64297266	Autosome	Autosome	ENST00000537177
CUL3	-1.00388979	-0.06565115	-0.4394503	Autosome	Autosome	ENST00000264414
CUL4A	-1.08636159	-0.07091138	-0.49807949	Autosome	Autosome	ENST00000375440
CUL4B	-0.96860505	-0.04640355	-0.37419889	non-par X	X (Other non-PAR)	ENST00000404115
CUL5	-0.92210383	-0.05502075	-0.41567014	Autosome	Autosome	ENST00000393094
CUL7	-1.83395998	-1.32544921	-1.56193344	Autosome	Autosome	ENST00000535468
CUL9	-1.50258937	-1.0519627	-1.27933773	Autosome	Autosome	ENST00000252050
CUTA	-6.18889049	-2.16927318	-4.1951603	Autosome	Autosome	ENST00000374500
CUTC	-5.61880987	-1.2440532	-1.83517251	Autosome	Autosome	ENST00000370476
CUX1	-1.04064464	-0.17806115	-0.61689049	Autosome	Autosome	ENST00000360264
CUX2	-1.26953907	-0.3743985	-0.85963125	Autosome	Autosome	ENST00000261726
CUZD1	-6.06821295	-1.88701368	-2.64156785	Autosome	Autosome	ENST00000368904
CWC15	-1.54208717	-0.08722641	-0.74068082	Autosome	Autosome	ENST00000279839
CWC22	-2.36046829	-1.43356911	-1.75958884	Autosome	Autosome	ENST00000410053
CWC25	-5.918537	-1.66036359	-2.27433805	Autosome	Autosome	ENST00000225428
CWC27	-6.07630659	-1.95395891	-3.21749681	Autosome	Autosome	ENST00000381070
CWF19L1	-6.15616865	-2.20902478	-3.58811596	Autosome	Autosome	ENST00000354105
CWF19L2	-5.16124078	-1.39777506	-1.95884973	Autosome	Autosome	ENST00000282251
CWH43	-6.15522593	-2.17058843	-3.81896104	Autosome	Autosome	ENST00000226432
CX3CL1	-1.4878125	-0.09265934	-0.75379929	Autosome	Autosome	ENST00000006053
CX3CR1	-4.02348857	-0.00569157	-0.84770282	Autosome	Autosome	ENST00000358309
CXADR	-2.2901433	-0.75477427	-1.42681284	Autosome	Autosome	ENST00000284878
CXCL1	-6.12933197	-1.16326087	-2.03001242	Autosome	Autosome	ENST00000395761
CXCL10	-5.57080882	-0.02931545	-0.95396602	Autosome	Autosome	ENST00000306602
CXCL11	-5.73870909	-0.07604479	-1.01470962	Autosome	Autosome	ENST00000306621
CXCL12	-5.94816116	-0.53370046	-1.45948907	Autosome	Autosome	ENST00000395794
CXCL13	-3.85581013	-0.00742435	-0.88059923	Autosome	Autosome	ENST00000286758
CXCL14	-5.73224029	-0.41677722	-1.37556531	Autosome	Autosome	ENST00000337225
CXCL16	-5.30863505	-0.25186053	-1.29827719	Autosome	Autosome	ENST00000293778
CXCL17	-6.09127074	-0.61982476	-1.53856603	Autosome	Autosome	ENST00000601181
CXCL3	-6.14249597	-1.21025007	-2.0303689	Autosome	Autosome	ENST00000296026
CXCL5	-6.15469688	-1.65512659	-3.20656336	Autosome	Autosome	ENST00000296027
CXCL6	-6.18578254	-1.89733482	-3.64028768	Autosome	Autosome	ENST00000226317
CXCL9	-6.13871869	-1.16572205	-1.99850635	Autosome	Autosome	ENST00000264888
CXCR1	-6.20023596	-2.23653113	-3.8475965	Autosome	Autosome	ENST00000295683
CXCR2	-1.87009357	-0.02828137	-0.78204334	Autosome	Autosome	ENST00000318507
CXCR3	-6.01062252	-2.07293502	-3.93345386	non-par X	X (Other non-PAR)	ENST00000373691
CXCR4	-4.94567828	-0.22085581	-1.27522285	Autosome	Autosome	ENST00000409817
CXCR5	-5.6921052	-0.40669875	-1.3869749	Autosome	Autosome	ENST00000292174
CXCR6	-6.14552499	-1.74555128	-2.48005056	Autosome	Autosome	ENST00000458629
CXorf21	-4.34745306	-0.00381506	-0.66789049	non-par X	X (Other non-PAR)	ENST00000378962
CXorf22	-1.06320653	-0.05162186	-0.399694	non-par X	X (Other non-PAR)	ENST00000297866
CXorf23	-1.31897863	-0.21551762	-0.78410705	non-par X	X (Other non-PAR)	ENST00000379687
CXorf30	-2.16471438	-0.00942877	-0.64725991	non-par X	X (Other non-PAR)	ENST00000378657
CXorf36	-5.94253568	-1.69935487	-2.49709342	non-par X	X (Other non-PAR)	ENST00000398000
CXorf38	-5.9686548	-1.92654519	-2.53860494	non-par X	X (Other non-PAR)	ENST00000327877
CXorf40A	-5.52059678	-0.04331595	-0.82518574	non-par X	X (Other non-PAR)	ENST00000441248
CXorf40B	-5.7048979	-0.13441151	-0.9303447	non-par X	X (Other non-PAR)	ENST00000370406
CXorf56	-1.45299704	-0.05292521	-0.59901563	non-par X	X (Other non-PAR)	ENST00000371594
CXorf57	-4.05620714	-1.16013879	-1.74617497	non-par X	X (Other non-PAR)	ENST00000372548
CXorf58	-5.99347705	-2.21048066	-2.98500102	non-par X	X (Other non-PAR)	ENST00000379211
CXorf65	-2.14888203	-0.00490333	-0.62269534	non-par X	X (Other non-PAR)	ENST00000374251
CXorf66	-5.65124153	-0.10910453	-0.91126966	non-par X	X (Other non-PAR)	ENST00000370540
CXXC1	-1.56612665	-0.66204866	-1.16579951	Autosome	Autosome	ENST00000412036
CXXC11	-6.13607331	-0.30490233	-1.26859297	Autosome	Autosome	ENST00000343216
CXXC4	-4.70232086	-0.00715396	-0.87071415	Autosome	Autosome	ENST00000394767
CXXC5	-3.58616383	-0.00114679	-0.82950817	Autosome	Autosome	ENST00000302517
CYB561	-1.56075883	-0.08862044	-0.72943362	Autosome	Autosome	ENST00000392976
CYB561A3	-1.68107922	-0.07155527	-0.76567894	Autosome	Autosome	ENST00000426130
CYB561D1	-5.07533517	-0.24485997	-1.28149166	Autosome	Autosome	ENST00000369868
CYB561D2	-6.24145585	-2.38151966	-3.89280489	Autosome	Autosome	ENST00000418577
CYB5A	-6.12578296	-1.49228465	-2.16238024	Autosome	Autosome	ENST00000340533
CYB5B	-5.65867447	-0.38902852	-1.37271405	Autosome	Autosome	ENST00000307892
CYB5D1	-6.18508163	-2.22824138	-3.34010712	Autosome	Autosome	ENST00000332439
CYB5D2	-6.02538345	-1.38609321	-1.97481008	Autosome	Autosome	ENST00000301391
CYB5R1	-6.16986678	-2.26231677	-3.71939475	Autosome	Autosome	ENST00000367249
CYB5R2	-6.19346817	-2.17607165	-3.47855389	Autosome	Autosome	ENST00000533558
CYB5R3	-5.92703159	-1.58686168	-2.16002743	Autosome	Autosome	ENST00000361740
CYB5R4	-5.37670746	-1.27812053	-1.85731796	Autosome	Autosome	ENST00000369681
CYB5RL	-6.20175077	-2.1913925	-3.57657104	Autosome	Autosome	ENST00000419823
CYBA	-6.21917916	-2.14870394	-3.80654241	Autosome	Autosome	ENST00000261623
CYBB	-1.05070402	-0.05424638	-0.3094852	non-par X	X (Other non-PAR)	ENST00000378588
CYBRD1	-5.02324133	-0.51409384	-1.4458734	Autosome	Autosome	ENST00000321348
CYC1	-1.37018747	-0.09257893	-0.71400436	Autosome	Autosome	ENST00000318911
CYCS	-5.88402218	-0.13375162	-1.04940887	Autosome	Autosome	ENST00000305786
CYFIP1	-1.62799404	-1.00788666	-1.32692293	Autosome	Autosome	ENST00000313077
CYFIP2	-0.83871295	-0.04803984	-0.3427368	Autosome	Autosome	ENST00000521420
CYGB	-5.40831493	-0.60190347	-1.49354292	Autosome	Autosome	ENST00000293230
CYHR1	-1.93395556	-0.30425803	-1.13409666	Autosome	Autosome	ENST00000438911
CYLC1	-1.43366509	-0.05329091	-0.53842241	non-par X	X (Other non-PAR)	ENST00000329312
CYLC2	-6.12464877	-1.77024044	-3.77262278	Autosome	Autosome	ENST00000374798
CYLD	-1.41250686	-0.44821467	-0.97800647	Autosome	Autosome	ENST00000427738
CYP11A1	-5.81705861	-1.60166894	-2.19368229	Autosome	Autosome	ENST00000268053
CYP11B1	-5.45393177	-1.23377246	-1.82510415	Autosome	Autosome	ENST00000292427
CYP11B2	-6.01684287	-1.84304225	-2.53077733	Autosome	Autosome	ENST00000323110
CYP17A1	-2.32920785	-0.73700318	-1.43290957	Autosome	Autosome	ENST00000369887
CYP19A1	-1.23846732	-0.08944077	-0.57461759	Autosome	Autosome	ENST00000396402
CYP1A1	-6.20239705	-2.32619281	-3.54602844	Autosome	Autosome	ENST00000379727
CYP1A2	-6.12987243	-2.19135594	-3.85035152	Autosome	Autosome	ENST00000343932
CYP1B1	-6.08461544	-2.02479595	-3.56394748	Autosome	Autosome	ENST00000260630
CYP20A1	-6.17003465	-2.15665409	-3.79394671	Autosome	Autosome	ENST00000356079
CYP21A2	-4.72151938	-0.7369255	-1.54256966	Autosome	Autosome	ENST00000418967
CYP24A1	-6.19258466	-2.33385721	-3.56234512	Autosome	Autosome	ENST00000216862
CYP26A1	-2.38089946	-0.89620865	-1.50054976	Autosome	Autosome	ENST00000224356
CYP26B1	-6.12446287	-2.08171477	-3.51845886	Autosome	Autosome	ENST00000001146
CYP26C1	-5.98363287	-1.47306039	-2.06067625	Autosome	Autosome	ENST00000285949
CYP27A1	-6.15164405	-2.18448327	-3.72896102	Autosome	Autosome	ENST00000258415
CYP27B1	-5.49898794	-1.05321039	-1.70782049	Autosome	Autosome	ENST00000228606
CYP27C1	-5.97599073	-1.52345009	-2.25747163	Autosome	Autosome	ENST00000335247
CYP2A13	-6.18097294	-2.78335959	-4.54756172	Autosome	Autosome	ENST00000330436
CYP2A6	-5.94892456	-1.67557905	-2.42081486	Autosome	Autosome	ENST00000301141
CYP2A7	-6.20746283	-2.27769598	-3.90508178	Autosome	Autosome	ENST00000301146
CYP2B6	-6.09048825	-2.07735717	-3.29643668	Autosome	Autosome	ENST00000324071
CYP2C18	-6.18003407	-2.45099174	-3.60943369	Autosome	Autosome	ENST00000285979
CYP2C19	-6.10485558	-2.03164306	-3.54803459	Autosome	Autosome	ENST00000371321
CYP2C8	-6.08306245	-2.11232598	-3.08091821	Autosome	Autosome	ENST00000371270
CYP2C9	-5.86831853	-1.28798696	-1.8661723	Autosome	Autosome	ENST00000260682
CYP2D6	-6.2997281	-3.87555163	-5.03994308	Autosome	Autosome	ENST00000360608
CYP2E1	-5.69629063	-1.332514	-1.91782478	Autosome	Autosome	ENST00000463117
CYP2F1	-6.17863951	-2.19176273	-3.55774403	Autosome	Autosome	ENST00000331105
CYP2J2	-6.20497364	-2.29899254	-3.75835576	Autosome	Autosome	ENST00000371204
CYP2R1	-5.93492766	-1.68247008	-2.30868417	Autosome	Autosome	ENST00000334636
CYP2S1	-6.12953986	-2.02989751	-3.13996287	Autosome	Autosome	ENST00000310054
CYP2U1	-5.3401981	-1.16379296	-1.78269598	Autosome	Autosome	ENST00000332884
CYP2W1	-1.34009332	-0.09641173	-0.63986923	Autosome	Autosome	ENST00000308919
CYP39A1	-5.97090006	-1.67628181	-2.29971449	Autosome	Autosome	ENST00000275016
CYP3A4	-6.14238512	-2.16195114	-3.79747599	Autosome	Autosome	ENST00000336411
CYP3A43	-6.06447869	-2.05596813	-3.25645658	Autosome	Autosome	ENST00000222382
CYP3A5	-6.14250861	-2.2854755	-4.02511357	Autosome	Autosome	ENST00000222982
CYP3A7	-5.96016231	-1.72100062	-2.37035954	Autosome	Autosome	ENST00000336374
CYP46A1	-1.22576211	-0.08626991	-0.59193414	Autosome	Autosome	ENST00000261835
CYP4A11	-6.07768968	-2.08360818	-3.23699509	Autosome	Autosome	ENST00000310638
CYP4A22	-6.09838206	-2.12878757	-3.2900685	Autosome	Autosome	ENST00000371891
CYP4B1	-6.07772369	-2.09907499	-3.10479716	Autosome	Autosome	ENST00000371923
CYP4F11	-6.08849716	-2.06622125	-3.63481051	Autosome	Autosome	ENST00000402119
CYP4F12	-6.08194445	-2.0910144	-3.30598719	Autosome	Autosome	ENST00000550308
CYP4F2	-6.17639876	-2.26020929	-3.64425016	Autosome	Autosome	ENST00000221700
CYP4F22	-5.75515987	-1.40465186	-2.08619696	Autosome	Autosome	ENST00000269703
CYP4F3	-6.11296914	-2.08130695	-3.29867227	Autosome	Autosome	ENST00000221307
CYP4V2	-6.06153096	-2.02780458	-3.07212867	Autosome	Autosome	ENST00000378802
CYP4X1	-6.01353074	-1.85721152	-2.7172306	Autosome	Autosome	ENST00000371901
CYP4Z1	-6.17260891	-2.27915665	-3.77144411	Autosome	Autosome	ENST00000334194
CYP51A1	-6.01233355	-1.70156115	-2.31254596	Autosome	Autosome	ENST00000003100
CYP7A1	-5.10956297	-1.00870972	-1.67301768	Autosome	Autosome	ENST00000301645
CYP7B1	-6.17448198	-2.23280477	-3.41453048	Autosome	Autosome	ENST00000310193
CYP8B1	-6.14087588	-2.00956563	-3.32653868	Autosome	Autosome	ENST00000316161
CYR61	-1.3209625	-0.09295857	-0.64565921	Autosome	Autosome	ENST00000451137
CYS1	-6.15608838	-0.30812825	-1.19027816	Autosome	Autosome	ENST00000381813
CYSLTR1	-5.99723464	-2.05487708	-3.86934778	non-par X	X (Other non-PAR)	ENST00000373304
CYSLTR2	-6.1383291	-1.18081939	-1.86854076	Autosome	Autosome	ENST00000282018
CYSTM1	-5.49333606	-0.01867728	-0.96440879	Autosome	Autosome	ENST00000261811
CYTH1	-1.20576328	-0.2478995	-0.43677405	Autosome	Autosome	ENST00000361101
CYTH2	-2.31569821	-1.08878352	-1.56329305	Autosome	Autosome	ENST00000452733
CYTH3	-1.60588315	-0.33960976	-1.02908726	Autosome	Autosome	ENST00000350796
CYTH4	-1.57568802	-0.50996035	-1.11231029	Autosome	Autosome	ENST00000248901
CYTIP	-4.37189747	-1.045782	-1.67785526	Autosome	Autosome	ENST00000264192
CYTL1	-6.19309142	-2.27470679	-3.77618065	Autosome	Autosome	ENST00000307746
D2HGDH	-5.54689185	-1.1149905	-1.75888343	Autosome	Autosome	ENST00000321264
